Region,Relationship,Sex,Age,Times Left the Country,Month of Last Departure,Year of Last Departure,Marital Status,Education Level,Usual Work,Reason for Leaving,Base,Country Stayed,Expected Return (Months),Worked Abroad,Work,Industry,Average Monthly Income,Months Worked,Returned,Month Returned,Year Returned,Return Reason,Expected Month Returned,Expected Year Returned,Remittance Received,Cash Remittance,Mode of Remittance,Consumptions,Investments,Savings,Gift/Donation,Other,Consumptions Percent,Investments Percent,Savings Percent,Gift/Donation Percent,Other Percent,Returned Apr-Sep,Cash Brought Home,Receive Goods/Products,Total Imputed Value of Goods/Products
Ilocos,Other,Male,65,1,March,2023,Married/Living Together,Junior High Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Immigrant,Land-based,North and South America,88,Yes,Elementary Occupations,Construction,168960.0,6.0,No,,,,,,With Remittance,180000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,55000.0
Ilocos,Other,Female,72,1,March,2023,Married/Living Together,Junior High Graduate,Elementary Occupations,Immigrant,N/A,North and South America,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Other,Female,30,1,March,2023,Single,College Graduate,Professionals,Immigrant,Land-based,North and South America,88,Yes,Professionals,Human Health and Social Work Activities,50000.0,6.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,42,2,September,2023,Widowed,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Saudi Arabia,48,Yes,Elementary Occupations,Other Service Activities,25000.0,59.0,No,,,,September,2027.0,With Remittance,20000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,20000.0,Yes,30000.0
Ilocos,Spouse,Female,43,1,April,2023,Married/Living Together,College Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,32000.0,5.0,No,,,,April,2025.0,With Remittance,40000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Other,Female,73,1,January,2023,Widowed,Junior High Graduate,Elementary Occupations,Immigrant,N/A,North and South America,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Female,40,2,March,2023,Married/Living Together,Junior High Undergraduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Singapore,88,Yes,Elementary Occupations,Other Service Activities,27000.0,42.0,No,,,,,,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,30000.0
Ilocos,Grandchild,Male,25,2,July,2023,Single,College Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Sea-based,Taiwan,10,Yes,Plant and Machine Operators and Assemblers,Transportation and Storage,60000.0,12.0,No,,,,May,2024.0,With Remittance,45000.0,Bank,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,10000.0,No,0.0
Ilocos,Children's Spouse,Female,35,1,August,2023,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,31000.0,1.0,No,,,,August,2025.0,With Remittance,30000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,25,1,May,2023,Single,College Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,24,Yes,Service and Sales Workers,Accommodation and Food Service Activities,36000.0,4.0,No,,,,May,2025.0,With Remittance,32400.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,31,1,November,2022,Single,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Overseas Filipino Worker (OFW) with Contract,Land-based,Taiwan,36,Yes,Elementary Occupations,Manufacturing,28000.0,10.0,No,,,,November,2025.0,With Remittance,50400.0,Money Transer Service,True,False,True,True,False,60.0,0.0,20.0,20.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Male,39,3,November,2022,Married/Living Together,Junior High Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Overseas Filipino Worker (OFW) with Contract,Sea-based,Africa,23,Yes,"Skilled Agricultural, Forestry and Fishery Workers",Fishing and Aquaculture,28000.0,58.0,No,,,,October,2024.0,With Remittance,60000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,28,1,July,2023,Married/Living Together,Junior High Graduate,Service and Sales Workers,Immigrant,N/A,Other Countries in East Asia,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Grandchild,Female,3,1,July,2023,,College Graduate,Non-gainful occupations,Immigrant,N/A,Other Countries in East Asia,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,27,1,March,2023,Married/Living Together,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,24,Yes,Service and Sales Workers,Other Service Activities,28000.0,6.0,No,,,,March,2025.0,With Remittance,82000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Male,38,1,December,2022,Divorced/Separated,College Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,24,Yes,Service and Sales Workers,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,30000.0,9.0,No,,,,December,2024.0,With Remittance,30000.0,Bank,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,44,2,December,2022,Divorced/Separated,College Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,32000.0,51.0,No,,,,December,2024.0,With Remittance,60000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,30000.0
Ilocos,Sibling,Female,45,1,March,2019,Divorced/Separated,College Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,60,Yes,Elementary Occupations,Other Service Activities,28000.0,54.0,No,,,,March,2024.0,With Remittance,30000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Male,33,3,October,2022,Married/Living Together,College Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Sea-based,Taiwan,12,Yes,Plant and Machine Operators and Assemblers,Transportation and Storage,60000.0,30.0,No,,,,October,2023.0,With Remittance,180000.0,Bank,True,False,True,False,False,75.0,0.0,25.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Parent,Male,62,1,March,2023,Married/Living Together,College Undergraduate,Plant and Machine Operators and Assemblers,Immigrant,Land-based,North and South America,88,Yes,Service and Sales Workers,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,153600.0,6.0,No,,,,,,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,50000.0
Ilocos,Parent,Female,63,1,March,2023,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Immigrant,Land-based,North and South America,88,Yes,Service and Sales Workers,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,153600.0,6.0,No,,,,,,With Remittance,60000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,35,1,February,2020,Married/Living Together,Junior High Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,North and South America,88,Yes,Elementary Occupations,Other Service Activities,30000.0,43.0,No,,,,,,With Remittance,120000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Male,38,1,February,2020,Married/Living Together,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,North and South America,88,Yes,Service and Sales Workers,Accommodation and Food Service Activities,30000.0,43.0,No,,,,,,With Remittance,120000.0,Money Transer Service,True,False,True,False,False,50.0,0.0,50.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Parent,Female,64,2,June,2022,Widowed,Junior High Graduate,Elementary Occupations,Immigrant,Land-based,North and South America,24,Yes,Service and Sales Workers,Accommodation and Food Service Activities,150000.0,60.0,No,,,,June,2024.0,With Remittance,176000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,19000.0
Ilocos,Child,Female,37,2,January,2019,Married/Living Together,Junior High Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Overseas Filipino Worker (OFW) with Contract,Land-based,Saudi Arabia,88,Yes,Elementary Occupations,Other Service Activities,28000.0,55.0,No,,,,,,With Remittance,60000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
